,Name,Country,City,Michelin_stars,Cuisine
0,Shoroku,MICHELIN Guide Japan,Osaka,m,Japanese
1,Point,MICHELIN Guide Japan,Osaka,m,French
2,Oryori Yamada,MICHELIN Guide Japan,Osaka,m,Japanese
3,Yoshiko,MICHELIN Guide Japan,Osaka,m,Fugu / Pufferfish
4,Kyomachiryori Mitsuya,MICHELIN Guide Japan,Osaka,m,Japanese
5,Ñ,MICHELIN Guide Japan,Osaka,m,Spanish
6,Nishishinsaibashi Yuno,MICHELIN Guide Japan,Osaka,m,Japanese
7,Enomoto,MICHELIN Guide Japan,Osaka,m,Japanese
8,il Centrino,MICHELIN Guide Japan,Osaka,m,Italian
9,HATSU,MICHELIN Guide Japan,Osaka,m,Innovative
10,Miyamoto,MICHELIN Guide Japan,Osaka,n,Japanese
11,Kitashinchi Fukutatei,MICHELIN Guide Japan,Osaka,m,Steakhouse
12,IDÉAL bistro,MICHELIN Guide Japan,Osaka,m,French
13,Shinchi Yamamoto,MICHELIN Guide Japan,Osaka,m,Japanese
14,Ono,MICHELIN Guide Japan,Osaka,m,Japanese
15,Choraku,MICHELIN Guide Japan,Osaka,m,Oden
16,Sui,MICHELIN Guide Japan,Osaka,m,Japanese
17,Hiraishi,MICHELIN Guide Japan,Osaka,m,Tempura
18,Sosakuwasho Nakashima,MICHELIN Guide Japan,Osaka,m,Japanese
19,Kashiwaya,MICHELIN Guide Japan,Osaka,o,Japanese
20,Konoha,MICHELIN Guide Japan,Osaka,m,Japanese
21,Oimatsu Kitagawa,MICHELIN Guide Japan,Osaka,m,Japanese
22,Ichiju Nisai Ueno Minoten,MICHELIN Guide Japan,Osaka,m,Japanese
23,LE PONT DE CIEL,MICHELIN Guide Japan,Osaka,m,French
24,agnel d'or,MICHELIN Guide Japan,Osaka,m,French
25,Oimatsu Hisano,MICHELIN Guide Japan,Osaka,m,Japanese
26,Torisho Ishii,MICHELIN Guide Japan,Osaka,m,Yakitori
27,Utsubohommachi Gaku,MICHELIN Guide Japan,Osaka,m,Japanese
28,Iwaki,MICHELIN Guide Japan,Osaka,m,Japanese
29,Iroha,MICHELIN Guide Japan,Osaka,m,Japanese
30,Shintaro,MICHELIN Guide Japan,Osaka,m,Tempura
31,Différence,MICHELIN Guide Japan,Osaka,m,French
32,Rakushin,MICHELIN Guide Japan,Osaka,m,Japanese
33,a canto,MICHELIN Guide Japan,Osaka,m,Italian
34,Pierre,MICHELIN Guide Japan,Osaka,m,French
35,Higashichaya Nakamura,MICHELIN Guide Japan,Osaka,m,Japanese
36,Man-u,MICHELIN Guide Japan,Osaka,m,Oden
37,Shunsaiten Tsuchiya,MICHELIN Guide Japan,Osaka,n,Tempura
38,Kaishoku Shimizu,MICHELIN Guide Japan,Osaka,m,Japanese
39,Sushi Murakami Jiro,MICHELIN Guide Japan,Osaka,m,Sushi
40,Sushidokoro Amano,MICHELIN Guide Japan,Osaka,m,Sushi
41,Ayamuya,MICHELIN Guide Japan,Osaka,m,Yakitori
42,Nishino,MICHELIN Guide Japan,Osaka,m,Japanese
43,La Lucciola,MICHELIN Guide Japan,Osaka,m,Italian
44,Zeshin,MICHELIN Guide Japan,Osaka,m,Japanese
45,La casa TOM Curiosa,MICHELIN Guide Japan,Osaka,m,Italian
46,P greco,MICHELIN Guide Japan,Osaka,m,Italian
47,Temmabashi Fujikawa,MICHELIN Guide Japan,Osaka,m,Japanese
48,TEMPURA HANAGATAMI,MICHELIN Guide Japan,Osaka,m,Tempura
49,Honkogetsu,MICHELIN Guide Japan,Osaka,n,Japanese
50,Ajikitcho Horieten,MICHELIN Guide Japan,Osaka,m,Japanese
51,capi,MICHELIN Guide Japan,Osaka,m,Innovative
52,Sushi Minazuki,MICHELIN Guide Japan,Osaka,m,Sushi
53,La Bécasse,MICHELIN Guide Japan,Osaka,m,French
54,Oryori Horikawa,MICHELIN Guide Japan,Osaka,m,Japanese
55,Teruya,MICHELIN Guide Japan,Osaka,m,Japanese
56,HAJIME,MICHELIN Guide Japan,Osaka,o,Innovative
57,Yakitori Ichimatsu,MICHELIN Guide Japan,Osaka,m,Yakitori
58,Terada,MICHELIN Guide Japan,Osaka,m,Japanese
59,KAHALA,MICHELIN Guide Japan,Osaka,n,Innovative
60,Sushi Harasho,MICHELIN Guide Japan,Osaka,n,Sushi
61,La Baie,MICHELIN Guide Japan,Osaka,m,French
62,Sushi Yuden,MICHELIN Guide Japan,Osaka,m,Sushi
63,Kawahara,MICHELIN Guide Japan,Osaka,m,Japanese
64,Ayamedo,MICHELIN Guide Japan,Osaka,m,Soba
65,Chugokusai S.Sawada,MICHELIN Guide Japan,Osaka,m,Chinese
66,Kagaman,MICHELIN Guide Japan,Osaka,m,Japanese
