Shoroku;Japan;Osaka;1;Japanese
Point;Japan;Osaka;1;French
Oryori Yamada;Japan;Osaka;1;Japanese
Yoshiko;Japan;Osaka;1;Fugu / Pufferfish
Kyomachiryori Mitsuya;Japan;Osaka;1;Japanese
Ñ;Japan;Osaka;1;Spanish
Nishishinsaibashi Yuno;Japan;Osaka;1;Japanese
Enomoto;Japan;Osaka;1;Japanese
il Centrino;Japan;Osaka;1;Italian
HATSU;Japan;Osaka;1;Innovative
Miyamoto;Japan;Osaka;2;Japanese
Kitashinchi Fukutatei;Japan;Osaka;1;Steakhouse
IDÉAL bistro;Japan;Osaka;1;French
Shinchi Yamamoto;Japan;Osaka;1;Japanese
Ono;Japan;Osaka;1;Japanese
Choraku;Japan;Osaka;1;Oden
Sui;Japan;Osaka;1;Japanese
Hiraishi;Japan;Osaka;1;Tempura
Sosakuwasho Nakashima;Japan;Osaka;1;Japanese
Kashiwaya;Japan;Osaka;3;Japanese
Konoha;Japan;Osaka;1;Japanese
Oimatsu Kitagawa;Japan;Osaka;1;Japanese
Ichiju Nisai Ueno Minoten;Japan;Osaka;1;Japanese
LE PONT DE CIEL;Japan;Osaka;1;French
agnel d'or;Japan;Osaka;1;French
Oimatsu Hisano;Japan;Osaka;1;Japanese
Torisho Ishii;Japan;Osaka;1;Yakitori
Utsubohommachi Gaku;Japan;Osaka;1;Japanese
Iwaki;Japan;Osaka;1;Japanese
Iroha;Japan;Osaka;1;Japanese
Shintaro;Japan;Osaka;1;Tempura
Différence;Japan;Osaka;1;French
Rakushin;Japan;Osaka;1;Japanese
a canto;Japan;Osaka;1;Italian
Pierre;Japan;Osaka;1;French
Higashichaya Nakamura;Japan;Osaka;1;Japanese
Man-u;Japan;Osaka;1;Oden
Shunsaiten Tsuchiya;Japan;Osaka;2;Tempura
Kaishoku Shimizu;Japan;Osaka;1;Japanese
Sushi Murakami Jiro;Japan;Osaka;1;Sushi
Sushidokoro Amano;Japan;Osaka;1;Sushi
Ayamuya;Japan;Osaka;1;Yakitori
Nishino;Japan;Osaka;1;Japanese
La Lucciola;Japan;Osaka;1;Italian
Zeshin;Japan;Osaka;1;Japanese
La casa TOM Curiosa;Japan;Osaka;1;Italian
P greco;Japan;Osaka;1;Italian
Temmabashi Fujikawa;Japan;Osaka;1;Japanese
TEMPURA HANAGATAMI;Japan;Osaka;1;Tempura
Honkogetsu;Japan;Osaka;2;Japanese
Ajikitcho Horieten;Japan;Osaka;1;Japanese
capi;Japan;Osaka;1;Innovative
